Abilene Christian Wildcats | Abilene TX
Air Force Falcons | Colorado Springs CO
Akron Zips | Akron OH
Alabama A&M Bulldogs | Huntsville AL
Alabama Crimson Tide | Tuscaloosa AL
Alabama State Hornets | Montgomery AL
Albany Great Danes | Albany NY
Alcorn State Braves | Lorman MS
American University Eagles | Washington DC
App State Mountaineers | Boone NC
Appalachian State Mountaineers | Boone NC
Arizona State Sun Devils | Phoenix AZ
Arizona Wildcats | Tucson AZ
Ark.-Pine Bluff Golden Lions | Pine Bluff AR
Arkansas Razorbacks | Fayetteville AR
Arkansas State Red Wolves | Jonesboro AR
Arkansas-Pine Bluff Golden Lions | Pine Bluff AR
Army Black Knights | West Point NY
Auburn Tigers | Auburn AL
Austin Peay Governors | Clarksville TN
BYU Cougars | Provo UT
Ball State Cardinals | Muncie IN
Baylor Bears | Waco TX
Bellarmine Knights | Louisville KY
Belmont Bruins | Nashville TN
Bethune Cookman Wildcats | Daytona Beach FL
Binghamton Bearcats | Vestal NY
Boise State Broncos | Boise ID
Boston College Eagles | Chestnut Hill MA
Boston University Terriers | Boston MA
Bowling Green Falcons | Bowling Green OH
Bradley Braves | Peoria IL
Bradley University Braves | Peoria IL
Brigham Young Cougars | Provo UT
Brown Bears | Providence RI
Bryant Bulldogs | Smithfield RI
Bucknell Bison | Lewisburg PA
Buffalo Bulls |  Buffalo NY
Butler Bulldogs | Indianapolis IN
CS Fullerton Titans | Fullerton CA
CSU Bakersfield Roadrunners | Bakersfield CA
Cal Poly Mustangs | Pomona CA
Cal State Fullerton Titans | Fullerton CA
Cal State Northridge Matadors | Northridge CA
California Baptist Lancers | Riverside CA
California Golden Bears | Berkeley CA
Campbell Fighting Camels | Buies Creek NC
Canisius Golden Griffins | Buffalo NY
Central Arkansas Bears | Conway AK
Central Connecticut Blue Devils | New Britain CT
Central Michigan Chippewas | Mount Pleasant MI
Charleston Cougars | Charleston SC
Charleston Southern Buccaneers | Charleston SC
Charlotte 49ers | Charlotte NC
Chattanooga Mocs | Chattanooga TN
Chicago State Cougars | Chicago IL
Cincinnati Bearcats | Cincinnati OH
Clemson Tigers | Clemson SC
Cleveland State Vikings | Cleveland OH
Coastal Carolina Chanticleers | Conway SC
Colgate Raiders | Hamilton NY
Colorado Buffaloes | Boulder CO
Colorado State Rams | Fort Collins CO
Columbia Lions | New York NY
Connecticut Huskies | Storrs CT
Coppin State Eagles | Baltimore MD
Cornell Big Red | Ithaca NY
Creighton Bluejays | Omaha NE
Dartmouth Big Green | Hanover NH
Davidson Wildcats | Davidson NC
Dayton Flyers | Dayton OH
DePaul Blue Demons | Chicago IL
Delaware Blue Hens | Newark DE
Delaware Fightin' Blue Hens | Newark DE
Delaware State Hornets | Dover DE
Denver Pioneers | Denver CO
Detroit Mercy Titans | Detroit MI
Detroit Titans | Detroit MI
Drake Bulldogs | Des Moines IA
Drexel Dragons | Philadelphia PA
Duke Blue Devils | Durham NC
Duquesne Dukes | Pittsburgh PA  
ETSU Buccaneer | Johnson City TN
East Carolina Pirates | Greenville NC
East Tennessee State Buccaneers | Johnson City TN
East Texas A&M Lions | Commerce TX
Eastern Illinois Panthers | Charleston IL
Eastern Kentucky Colonels | Richmond KY
Eastern Michigan Eagles | Ypsilanti MI
Eastern Washington Eagles | Cheney WA
Elon Phoenix | Elon NC
Evansville Purple Aces | Evansville IN
FIU Golden Panthers | University Park FL
Fairfield Stags | Madison NJ
Fairleigh Dickinson Knights | Madison NJ
Florida A&M Rattlers | Tallahassee FL
Florida Atlantic | Boca Raton FL
Florida Gators | Gainesville FL
Florida Gulf Coast Eagles | Fort Myers FL
Florida International Panthers | University Park FL 
Florida State Seminoles | Tallahassee FL
Fordham Rams | New York NY
Fresno State Bulldogs | Fresno CA
Furman Paladins | Greenville SC
Gardner Webb Runnin' Bulldogs | Boiling Springs NC
Gardner-Webb Runnin' Bulldogs | Boiling Springs NC
George Mason Patriots | Fairfax VA
George Washington Revolutionaries | Washington DC
Georgetown Hoyas | Washington DC
Georgia Bulldogs | Athens GA
Georgia Southern Eagles | Statesboro GA
Georgia State Panthers | Atlanta GA
Georgia Tech Yellow Jackets | Atlanta GA
Gonzaga Bulldogs | Spokane WA
Grambling State Tigers | Grambling LA
Grambling Tigers | Grambling LA
Grand Canyon Antelopes | Phoenix AZ
Grand Canyon Lopes | Phoenix AZ
Green Bay Phoenix | Green Bay WI
Hampton Pirates | Hampton VA
Harvard Crimson | Cambridge MA
Hawaii Rainbow Warriors | Oahu HI
High Point Panthers | High Point NC
Hofstra Pride | Uniondale NY
Holy Cross Crusaders | Worcester MA
Houston Christian Huskies | Houston TX
Houston Cougars | Houston TX
Howard Bison | Washington DC
IU Indianapolis Jaguars | Indianapolis IN
IUPUI Jaguars | Indianapolis IN
Idaho State Bengals | Pocatello ID
Idaho Vandals | Moscow ID
Illinois Fighting Illini | Champaign IL
Illinois State Redbirds | Normal IL
Incarnate Word Cardinals | San Antonio TX
Indiana Hoosiers | Indianapolis IN
Indiana State Sycamores | Terre Haute IN
Iona Gaels | New Rochelle NY
Iowa Hawkeyes | Iowa City IA
Iowa State Cyclones | Ames IA
Jackson State Tigers | Jackson MS
Jacksonville Dolphins | Jacksonville FL
Jacksonville State Gamecocks | Jacksonville AL
James Madison Dukes | Harrisonburg VA
Kansas City Roos | Kansas City MO
Kansas Jayhawks | Lawrence KS
Kansas State Wildcats | Manhattan KS
Kennesaw State Owls | Cobb County GA
Kent State Golden Flashes | Kent OH
Kentucky Wildcats | Lexington KY
LIU Sharks | New York NY
LSU Tigers | Baton Rouge LA
La Salle Explorers | Philadelphia PA
Lafayette Leopards | Easton PA
Lamar Cardinals | Beaumont TX
Le Moyne Dolphins | DeWitt NY
Lehigh Mountain Hawks | Bethlehem PA
Liberty Flames | Lynchburg VA
Lindenwood Lions | St. Charles MO
Lipscomb Bison | Nashville TN
Little Rock Trojans | Little Rock AR 
Long Beach State 49ers | Long Beach CA
Long Beach State Beach | Long Beach CA
Long Island University Sharks | New York NY
Longwood Lancers | Farmville VA
Louisiana Lafayette | Lafayette LA
Louisiana Monroe Warhawks | Monroe LA
Louisiana Tech Bulldogs | Ruston LA
Louisville Cardinals | Louisville KY
Loyola Chicago Ramblers | Chicago IL
Loyola Maryland Greyhounds | Baltimore MD
Loyola Marymount Lions | Los Angeles CA
MD E Shore Fighting Hawks | Princess Anne MD
MS Valley State Delta Devils | Mississippi Valley State MS
MTSU Blue Raiders | Murfreesboro TN
Maine Black Bears | Orono ME
Manhattan Jaspers | New York NY
Marist Red Foxes | Poughkeepsie NY
Marquette Golden Eagles | Milwaukee WI
Marshall Thundering Herd | Huntington WV
Maryland Eastern Shore Hawks | Princess Anne MD
Maryland Terrapins | College Park MD
Massachusetts Minutemen | Amherst MA
McNeese Cowboys | Lake Charles LA
McNeese State Cowboys | Lake Charles LA
Md.-Eastern Shore(UMES) | Princess Anne MD
Memphis Tigers | Memphis TN
Mercer Bears | Macon GA
Mercyhurst Lakers | Erie PA
Merrimack Warriors | North Andover MA
Miami (FL) Hurricanes | Miami FL
Miami (OH) RedHawks | Miami OH
Miami Hurricanes | Miami FL
Miami RedHawks | Miami OH
Miami-Florida Hurricanes | Miami FL
Miami-Ohio RedHawks | Miami OH
Michigan State Spartans | East Lansing MI
Michigan Wolverines | Ann Arbor MI
Middle Tennessee Blue Raiders | Murfreesboro TN
Milwaukee Panthers | Milwaukee WI
Minnesota Golden Gophers | Duluth MN
Mississippi State Bulldogs | Mississippi State MS
Mississippi Valley State Delta Devils | Mississippi Valley State MS
Missouri State Bears | Springfield MO
Missouri Tigers | Columbia MO
Monmouth Hawks | West Long Branch NJ
Monmouth-NJ Hawks | West Long Branch NJ 
Montana Grizzlies | Missoula MT
Montana State Bobcats | Bozeman MT
Morehead State Eagles | Morehead KY
Morgan State Bears | Baltimore MD
Mount St. Mary's Mountaineers | Emmitsburg MD
Murray State Racers | Murray KS
NC A&T Aggies | Greensboro NC
NC State Wolfpack | Raleigh NC
NJIT Highlanders | Newark NJ
Navy Midshipmen | Annapolis MD
Nebraska Cornhuskers | Lincoln NE
Nevada Wolf Pack | Reno NV
New Hampshire Wildcats | Durham NH
New Mexico Lobos | Albuquerque NM
New Mexico State Aggies | Las Cruces NM
New Orleans Privateers | New Orleans LA
Niagara Purple Eagles | Lewiston NY
Nicholls Colonels | Thibodaux LA
Nicholls State Colonels | Thibodaux LA 
Norfolk State Spartans | Norofolk VA
North Alabama Lions | Florence AL
North Carolina A&T Aggies | Greensboro NC
North Carolina Central Eagles | Durham NC
North Carolina Tar Heels | Chapel Hill NC
North Dakota Fighting Hawks | Grand Forks ND
North Dakota State Bison | Fargo ND
North Florida Ospreys | Jacksonville FL
North Texas Mean Green | Denton TX
Northeastern Huskies | Boston MA
Northern Arizona Lumberjacks | Flagstaff AZ
Northern Colorado Bears | Greeley CO
Northern Illinois Huskies | DeKalb IL
Northern Iowa Panthers | Cedar Falls IA
Northern Kentucky Norse | Highland Heights KY
Northwestern State Demons | Nachitoches LA
Northwestern Wildcats | Evanston IL
Notre Dame Fighting Irish | South Bend IN
Oakland Golden Grizzlies | Auburn Hills MI
Ohio Bobcats | Athens OH
Ohio State Buckeyes | Columbus OH
Oklahoma Sooners | Norman OK
Oklahoma State Cowboys | Stillwater OK
Old Dominion Monarchs | Norfolk VA
Ole Miss Rebels | Oxford MS
Omaha Mavericks | Omaha NE
Omaha(Neb.-Omaha) Mavericks | Omaha NE
Oral Roberts Golden Eagles | Tulsa OK
