Abilene Christian Wildcats | Abl Christian 
Air Force Falcons | Air Force 
Akron Zips | Akron 
Alabama A&M Bulldogs | Alab A&M 
Alabama Crimson Tide | Alabama 
Alabama State Hornets | Alabama St 
Albany Great Danes | Albany 
Alcorn State Braves | Alcorn St 
American University Eagles | American 
App State Mountaineers | App State 
Appalachian State Mountaineers | App State  
Arizona State Sun Devils | Arizona St 
Arizona Wildcats | Arizona 
Ark.-Pine Bluff Golden Lions | Ark Pine Bl 
Arkansas Razorbacks | Arkansas 
Arkansas State Red Wolves | Arkansas St 
Arkansas-Pine Bluff Golden Lions | Ark Pine Bl  
Army Black Knights | Army 
Auburn Tigers | Auburn 
Austin Peay Governors | Austin Peay 
BYU Cougars | BYU 
Ball State Cardinals | Ball St 
Baylor Bears | Baylor 
Bellarmine Knights | Bellarmine 
Belmont Bruins | Belmont 
Bethune Cookman Wildcats | Beth-Cook 
Bethune-Cookman Wildcats | Beth-Cook
Binghamton Bearcats | Binghamton 
Boise State Broncos | Boise St 
Boston College Eagles | Boston Col 
Boston University Terriers | Boston U 
Bowling Green Falcons | Bowling Grn 
Bradley Braves | Bradley 
Bradley University Braves | Bradley
Brigham Young Cougars | BYU
Brown Bears | Brown 
Bryant Bulldogs | Bryant 
Bucknell Bison | Bucknell 
Buffalo Bulls | Buffalo 
Butler Bulldogs | Butler 
CS Fullerton Titans | CS Fullerton 
CSU Bakersfield Roadrunners | CS Bakersfld 
Cal Poly Mustangs | Cal Poly 
Cal State Fullerton Titans | Cal Poly
Cal State Northridge Matadors | Cal St Nrdge 
California Baptist Lancers | Cal Baptist 
California Golden Bears | California 
Campbell Fighting Camels | Campbell 
Canisius Golden Griffins | Canisius 
Central Arkansas Bears | Central Ark 
Central Connecticut Blue Devils | Central Conn 
Central Michigan Chippewas | Central Mich 
Charleston Cougars | Col Charlestn 
Charleston Southern Buccaneers | Charl South 
Charlotte 49ers | Charlotte 
Chattanooga Mocs | Chattanooga 
Chicago State Cougars | Chicago St 
Cincinnati Bearcats | Cincinnati 
Clemson Tigers | Clemson 
Cleveland State Vikings | Cleveland St 
Coastal Carolina Chanticleers | Coastal Car 
Colgate Raiders | Colgate 
Colorado Buffaloes | Colorado 
Colorado State Rams | Colorado St 
Columbia Lions | Columbia 
Connecticut Huskies | Connecticut 
